Wavelength (nm),Radiance (W/m²/sr/µm)
2006.7599999999998,0.80469949
2015.7600000000002,0.64191545
2024.74,0.6217397
2033.7299999999998,0.62504907
2042.7300000000002,0.63336007
2051.71,0.63577017
2060.7000000000003,0.61803888
2069.69,0.59678697
2078.68,0.59775215
2087.6800000000003,0.56605306
2096.66,0.55790124
2105.66,0.54740287
2114.6600000000003,0.53912287
2123.64,0.53742628
2132.6299999999997,0.5334251
2141.62,0.53038077
2150.62,0.51472968
2159.6099999999997,0.49471492
2168.6,0.48563582
2177.5899999999997,0.48447794
2186.57,0.47666318
2195.57,0.46569559
2204.56,0.45803785
2213.55,0.45232943
2222.55,0.44692403
2231.5299999999997,0.44668034
2240.53,0.44446003
2249.52,0.43838361
2258.5,0.43443063
2267.5,0.42981705
2276.48,0.42545115
2285.4700000000003,0.42271752
2294.47,0.41845061
2303.4500000000003,0.41127604
2312.44,0.40499467
2321.44,0.39768724
2330.43,0.39094512
2339.4300000000003,0.38318538
2348.41,0.37360082
2357.4,0.36513236
2366.39,0.35778903
2375.3799999999997,0.35146229
2384.38,0.34581975
2393.36,0.33486902
2402.3599999999997,0.33109371
2411.35,0.33193354
2420.34,0.32557081
2429.3300000000004,0.32195695
2438.32,0.31911117
2447.32,0.3142895
2456.3100000000004,0.30503752
2465.29,0.2977143
2474.29,0.29141739
2483.27,0.28193768
2492.2599999999998,0.27886773
2501.2599999999998,0.27352932
2510.2400000000002,0.26092222
2519.24,0.24690815
2528.2200000000003,0.22890462
2537.2200000000003,0.21023759
2546.22,0.21903263
2555.2000000000003,0.24010217
2564.19,0.24228508
2573.18,0.24309389
2582.17,0.2460998
2591.17,0.24314864
2600.15,0.24041044
2609.14,0.23973375
2618.1299999999997,0.23257315
2627.13,0.22562945
2636.12,0.22437918
2645.1099999999997,0.2208746
2654.11,0.2186227
2663.09,0.21756797
2672.0899999999997,0.21764033
2681.08,0.21694287
2690.06,0.21182913
2699.06,0.20787835
2708.05,0.20459787
2717.04,0.19948668
2726.03,0.19770955
2735.0099999999998,0.19590087
2744.0099999999998,0.18924395
2753.0,0.17794548
2761.99,0.1670442
2770.99,0.16258716
2779.9700000000003,0.15273749
2788.96,0.14205238
2797.9599999999996,0.1503837
2806.94,0.15797481
2815.94,0.16023054
2824.92,0.16311338
2833.91,0.16575337
