Wavelength (nm),Radiance (W/m²/sr/µm)
701.6,3.2594
708.0999999999999,3.2846
714.6,3.2845
721.0999999999999,3.3263
727.6,3.3692
734.1,3.3802
740.7,3.3088
747.1999999999999,3.3164
753.7,3.3078
760.1999999999999,3.278
766.7,3.2757
773.2,3.239
779.6999999999999,3.2094
786.2,3.1628
792.6999999999999,3.1069
799.2,3.0902
805.8,3.0777
812.3000000000001,3.0538
818.8,2.9649
825.3000000000001,2.8725
831.8,2.7261
838.3000000000001,2.7017
844.8,2.6146
851.3,2.4036
840.5,2.7777
847.0999999999999,2.6148
853.6,2.5867
860.1,2.5982
866.6,2.5689
873.1,2.4512
879.7,2.3205
886.1999999999999,2.2765
892.7,2.1732
899.2,2.1502
905.6999999999999,2.1776
912.3,2.2164
918.8,2.1411
925.3,2.1299
931.8,1.9702
938.3000000000001,1.8823
944.9,1.9322
951.4,1.7692
957.9,1.7489
964.4000000000001,1.7586
970.9,1.6999
977.5,1.5859
984.0,1.4835
990.5,1.3846
1263.8,0.9422
1276.8,0.9399
1289.8,0.8984
1302.8999999999999,0.8803
1315.9,0.8801
1328.8999999999999,0.8724
1341.9,0.8593
1354.9,0.8521
1367.8999999999999,0.8373
1380.9,0.8103
1393.8999999999999,0.8014
1406.9,0.799
1419.8999999999999,0.7777
1433.0,0.7797
1446.0,0.7712
1459.0,0.7493
1472.0,0.731
1485.0,0.7383
1498.0,0.7153
1511.0,0.6999
1524.0,0.6846
1537.0,0.6805
1550.0,0.6668
1563.1,0.6002
1542.1000000000001,0.646
1555.1999999999998,0.6366
1568.2,0.6365
1581.2,0.6229
1594.2,0.6237
1607.3,0.6191
1620.3000000000002,0.6054
1633.3,0.5874
1646.4,0.5641
1659.4,0.5464
1672.4,0.5371
1685.4,0.5339
1698.5,0.5123
1711.5,0.5063
1724.5,0.4924
1737.6000000000001,0.4782
1750.6,0.4677
1763.6000000000001,0.4567
1776.6,0.4422
1789.7,0.434
1802.7,0.4152
1815.7,0.4098
1828.8,0.3938
1841.8000000000002,0.3544
1822.5,0.393
1835.5,0.3885
1848.6,0.3815
1861.6,0.3709
1874.7,0.3743
1887.7,0.3648
1900.8,0.352
1913.8,0.3454
1926.8000000000002,0.3383
1939.8999999999999,0.3199
1953.0,0.3144
1966.0,0.3137
1979.1000000000001,0.3003
1992.1,0.2994
2005.1000000000001,0.2953
2018.2000000000003,0.2851
2031.2,0.2827
2044.2999999999997,0.2795
2057.3,0.2678
2070.3999999999996,0.2634
2083.4,0.2501
2096.5,0.2473
2109.5,0.2439
2122.6,0.218
2103.7,0.2168
2116.8,0.2135
2129.9,0.2023
2143.0,0.1962
2156.0,0.1894
2169.1,0.1937
2182.1000000000004,0.1893
2195.2,0.1824
2208.2999999999997,0.1826
2221.2999999999997,0.1794
2234.4,0.1699
2247.5,0.1804
2260.6000000000004,0.1711
2273.6,0.1741
2286.7000000000003,0.1648
2299.7000000000003,0.1629
2312.8,0.1704
2325.8999999999996,0.1702
2338.9,0.1616
2352.0,0.154
2365.1,0.1449
2378.1,0.1447
2391.2,0.145
2404.3,0.1401
2669.0,0.0944
2682.1000000000004,0.0938
2695.2,0.0936
2708.2999999999997,0.0922
2721.4,0.0885
2734.5,0.0904
2747.6,0.0905
2760.7,0.0835
2773.8,0.0779
2786.9,0.0711
2800.0,0.0711
2813.1,0.0753
2826.2,0.0779
2839.3,0.0791
2852.3999999999996,0.0776
2865.5,0.0773
2878.6,0.076
2891.7000000000003,0.0753
2904.7999999999997,0.0713
2917.9,0.0701
2931.0,0.07
2944.1000000000004,0.0719
2957.2,0.0702
2970.2999999999997,0.0632
2948.5,0.0647
2961.6,0.0681
2974.7,0.068
2987.8,0.0673
3000.9,0.0662
3014.0,0.0649
3027.1,0.0648
3040.2999999999997,0.066
3053.4,0.0646
3066.5,0.0614
3079.6,0.0607
3092.7,0.0592
3105.7999999999997,0.0586
3118.9,0.0579
3132.1,0.0558
3145.2,0.0548
3158.3,0.0553
3171.4,0.0545
3184.5,0.0533
3197.6,0.0525
3210.7000000000003,0.0507
3223.9,0.0509
3237.0,0.0488
3250.1000000000004,0.0444
3231.7999999999997,0.0462
3245.0,0.0467
3258.1000000000004,0.0475
3271.2,0.0454
3284.3,0.0438
3297.5,0.0448
3310.6,0.0429
3323.7000000000003,0.0423
3336.9,0.0409
3350.0,0.0388
3363.1000000000004,0.0386
3376.2,0.0406
3389.4,0.0404
3402.5,0.0405
3415.6,0.0381
3428.7999999999997,0.038
3441.9,0.0378
3455.0,0.038
3468.1000000000004,0.0363
3481.3,0.0352
3494.4,0.0351
3507.5,0.0355
3520.6,0.0338
3533.7999999999997,0.0292
3514.5,0.0362
3527.6,0.0364
3540.7000000000003,0.0325
3553.9,0.0324
3567.0,0.0301
3580.2000000000003,0.0311
3593.3,0.0314
3606.5,0.0325
3619.6000000000004,0.0306
3632.7,0.03
3645.9,0.0282
3659.0,0.0284
3672.2000000000003,0.0296
3685.2999999999997,0.0287
3698.5,0.0273
3711.6,0.0251
3724.7,0.0237
3737.8999999999996,0.0245
3751.0,0.0211
3764.1,0.0195
3777.2999999999997,0.0208
3790.4,0.0204
3803.6,0.0211
3816.7,0.0203
3797.5,0.0212
3810.7000000000003,0.0205
3823.7999999999997,0.0219
3837.0,0.0238
3850.1,0.0221
3863.3,0.0208
3876.3999999999996,0.0211
3889.6000000000004,0.0192
3902.8,0.0171
3915.9,0.017
3929.1,0.0178
