 Name Latitude(°) Longitude(W) Area(km2) Teff(K) Power(GW)
 P225k 11.3 84.8 255 256 62 
 EstanP. 21.5 87.6 243 281 85 
 At’amP.k 37.9 87.6 420 220 56 
 P223 18.6 88.3 19 316 11  
 P223 18.6 88.3 19 464 50 
 AlunaP.m 44.7 91.9 650 320 392 
 AlunaP. 44.7 91.9 650 239 121 
 AlunaP. 44.7 91.9 650 240 122 
 P226 6.5 97.7 592 220 79 
 P226 6.5 97.7 592 270 178 
 SigurdP. 5.8 98.0 1532 225 223 
 SigurdP. 5.8 98.0 1532 242 298 
 ItzamnaPh 15.3 99.0 476 291 194 
 ItzamnaP. 15.3 99.0 476 309 246 
 ShangoP.k 32.4 100.5 777 230 123 
 ArushaP. 39.0 101.5 2154 234 432
 ArushaP. 39.0 101.5 2154 230 404
 CathaP. 53.7 101.6 3161 237 565
 CathaP. 53.7 101.6 3161 270 952
 Amirani 24.0 115.2 25 400 143
 P162 31.5 116.5 235 222 33
 P162 31.5 116.5 235 278 80
 P162 31.5 116.5 235 276 77
 P162 31.5 116.5 235 278 80
 P61 18.7 117.3 457 274 147
 P61 18.7 117.3 465 288 178
 P61 18.7 117.3 465 281 162
 DusuraP. 37.5 119.0 2948 237 527
 DusuraP. 37.5 119.0 2948 256 718
 DusuraP. 37.5 119.0 2948 237 532
 DusuraP. 37.5 119.0 2948 251 659
 P193 54.4 119.2 51 298 23
 EmakongP. 3.3 119.9 3912 187 271
 EmakongP. 3.3 119.9 3912 203 377
 EmakongP. 3.3 119.9 3916 210 432
 MauiP. 16.6 124.3 1020 227 154
 MauiP. 16.6 124.3 1020 233 170
 MauiP. 16.6 124.3 1020 236 180
 MauiP. 16.6 124.3 1020 225 148
 P95 11.8 128.3 168 248 36
 P95 11.8 128.3 168 254 40
 P95 11.8 128.3 168 243 33
 MalikP. 34.5 129.3 1611 255 386
 MalikP. 34.5 129.3 1611 282 578
 MalikP. 34.5 129.3 1611 289 641
 MajuP. 19.5 131.5 516 262 138
 MajuP. 19.5 131.5 516 241 99
 MajuP. 19.5 131.5 516 262 138
 YawP. 10.0 132.0 242 271 74
 YawP. 10.0 132.0 242 259 62
 SethP. 5.3 132.0 53 336 39
 SethP. 5.3 132.0 53 374 59
 SethP. 5.3 132.0 53 344 42
 SethP. 5.3 132.0 53 354 47
 SethP. 5.3 132.0 53 355 48
 TienMuP. 12.2 134.5 459 242 89
 TienMuP. 12.2 134.5 459 239 85
 TienMuP. 12.2 134.5 459 249 100
 TienMuP. 12.2 134.5 459 244 92
 P165k 5.1 135.6 139 199 12 
 CamaxtliP. 15.1 136.9 187 260 48
 CamaxtliP. 15.1 136.9 187 320 111
 CamaxtliP. 15.1 136.9 187 256 46
 CamaxtliP. 15.1 136.9 187 326 119
 P63 35.6 137.7 288 281 101 
 P63 35.6 137.7 288 262 78
 P63 35.6 137.7 288 276 94
 P123 41.6 137.9 13 329 9
 RuaumokoP. 14.8 139.7 87 268 25 
 RuaumokoP. 14.8 139.7 87 238 16
 RuaumokoP. 14.8 139.7 87 263 24
 P151k 39.0 141.3 7 368 7
 CuchiP. 1.7 144.0 58 252 13
